anime_id,anime_name,anime_genre,anime_ratings,anime_episodes
23847,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,Comedy,8.31,13
33161,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA,Comedy,8.31,1
962,Aria The Natural,Fantasy,8.3,26
1519,Black Lagoon: The Second Barrage,Action,8.3,12
2167,Clannad,Comedy,8.3,23
16706,Kami nomi zo Shiru Sekai: Megami-hen,Comedy,8.3,12
5681,Summer Wars,Comedy,8.3,1
3901,Baccano! Specials,Action,8.29,3
6467,Detective Conan Movie 14: The Lost Ship in the Sky,Action,8.29,1
10271,Gyakkyou Burai Kaiji: Hakairoku-hen,Game,8.29,26
22507,Initial D Final Stage,Cars,8.29,4
3701,Kaiba,Adventure,8.29,12
19123,One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari,Action,8.29,1
33255,Saiki Kusuo no Ψ-nan (TV),Comedy,8.29,120
372,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,Comedy,8.28,1
265,Hajime no Ippo: Mashiba vs. Kimura,Comedy,8.28,1
25681,Kamisama Hajimemashita◎,Comedy,8.28,12
4722,Skip Beat!,Comedy,8.28,25
24277,Yowamushi Pedal: Grande Road,Comedy,8.28,24
239,Gankutsuou,Drama,8.27,24
512,Majo no Takkyuubin,Adventure,8.27,1
4477,Nodame Cantabile: Paris-hen,Comedy,8.27,11
15323,One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna,Action,8.27,1
31174,Osomatsu-san,Comedy,8.27,25
23327,Space☆Dandy 2nd Season,Comedy,8.27,13
5365,Tsumiki no Ie,Drama,8.27,1
3702,Detroit Metal City,Comedy,8.26,12
3167,Eve no Jikan,Sci-Fi,8.26,6
7465,Eve no Jikan (Movie),Sci-Fi,8.26,1
7054,Kaichou wa Maid-sama!,Comedy,8.26,26
1257,Saint Seiya: Meiou Hades Juuni Kyuu-hen,Adventure,8.26,13
23283,Zankyou no Terror,Psychological,8.26,11
2025,Darker than Black: Kuro no Keiyakusha,Action,8.25,25
235,Detective Conan,Adventure,8.25,Unknown
1364,Detective Conan Movie 05: Countdown to Heaven,Adventure,8.25,1
18689,Diamond no Ace,Comedy,8.25,75
22043,Fairy Tail (2014),Action,8.25,102
31988,Hibike! Euphonium 2,Drama,8.25,13
20899,JoJo no Kimyou na Bouken: Stardust Crusaders,Action,8.25,24
1453,Maison Ikkoku,Comedy,8.25,96
23623,Non Non Biyori Repeat,Comedy,8.26,12
1559,Shijou Saikyou no Deshi Kenichi,Action,8.25,50
1382,Yuusha-Ou GaoGaiGar Final,Adventure,8.25,8
23289,Gekkan Shoujo Nozaki-kun,Comedy,8.24,12
18,Initial D Fourth Stage,Action,8.24,24
4814,Junjou Romantica 2,Comedy,8.24,12
16662,Kaze Tachinu,Drama,8.24,1
12031,Kingdom,Action,8.24,38
8129,Kuragehime,Comedy,8.24,11
14513,Magi: The Labyrinth of Magic,Action,8.24,25
2581,Mobile Suit Gundam 00,Action,8.24,25
30015,ReLIFE,Romance,8.24,13
6171,Saint Seiya: The Lost Canvas - Meiou Shinwa,Action,8.24,13
1827,Seirei no Moribito,Action,8.24,26
25013,Akatsuki no Yona,Action,8.23,24
1367,Detective Conan Movie 08: Magician of the Silver Sky,Adventure,8.23,1
27833,Durarara!!x2 Ketsu,Action,8.23,12
26213,Free!: Eternal Summer Special,Comedy,8.23,1
1974,Glass no Kamen (2005),Drama,8.23,51
8425,Gosick,Drama,8.23,24
12069,Hajime no Ippo: Boxer no Kobushi,Comedy,8.23,1
185,Initial D First Stage,Action,8.23,26
18679,Kill la Kill,Action,8.23,24
2034,Lovely★Complex,Comedy,8.23,24
437,Perfect Blue,Dementia,8.23,1
721,Princess Tutu,Comedy,8.23,38
12477,Sakasama no Patema,Sci-Fi,8.23,1
4938,Tsubasa: Shunraiki,Action,8.23,2
2402,Ashita no Joe,Drama,8.22,79
6702,Fairy Tail,Action,8.22,175
1566,Ghost in the Shell: Stand Alone Complex - Solid State Society,Mecha,8.22,1
31741,Magi: Sinbad no Bouken (TV),Action,8.22,13
440,Shoujo Kakumei Utena,Drama,8.22,39
4107,Tengen Toppa Gurren Lagann Movie: Gurren-hen,Action,8.22,1
1506,Detective Conan Movie 10: Requiem of the Detectives,Adventure,8.21,1
2759,Evangelion: 1.0 You Are (Not) Alone,Action,8.21,1
72,Full Metal Panic? Fumoffu,Action,8.21,12
3016,Ginga Eiyuu Densetsu: Arata Naru Tatakai no Overture,Action,8.21,1
3783,Kara no Kyoukai 3: Tsuukaku Zanryuu,Action,8.21,1
3927,Mobile Suit Gundam 00 Second Season,Action,8.21,25
11597,Nisemonogatari,Comedy,8.21,11
28025,Tsukimonogatari,Comedy,8.21,4
24833,Ansatsu Kyoushitsu (TV),Action,8.2,22
29893,Aria The Avvenire,Fantasy,8.2,3
27663,Baby Steps 2nd Season,Romance,8.2,25
1482,D.Gray-man,Action,8.2,103
3371,Ginga Eiyuu Densetsu Gaiden: Senoku no Hoshi,Action,8.2,24
25313,Gintama: Jump Festa 2014 Special,Action,8.2,1
1430,Lupin III: Cagliostro no Shiro,Adventure,8.2,1
33051,Mobile Suit Gundam: Iron-Blooded Orphans 2nd Season,Action,8.2,25
7720,Ookiku Furikabutte: Natsu no Taikai-hen,Comedy,8.2,13
1914,Saiunkoku Monogatari 2nd Season,Adventure,8.2,39
20371,Sekaiichi Hatsukoi Movie: Yokozawa Takafumi no Baai,Comedy,8.2,1
15039,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie,Drama,8.19,1
2164,Dennou Coil,Adventure,8.19,26
237,Eureka Seven,Adventure,8.19,50
2449,Ghost in the Shell: Stand Alone Complex - The Laughing Man,Action,8.19,1
10643,Gintama: Dai Hanseikai,Action,8.19,1
17739,Hidamari Sketch: Sae Hiro Sotsugyou-hen,Comedy,8.19,2
135,Hikaru no Go,Comedy,8.19,75
6045,Kimi ni Todoke,Romance,8.19,25
16001,Kokoro Connect: Michi Random,Comedy,8.19,4
6211,Tokyo Magnitude 8.0,Drama,8.19,11
232,Cardcaptor Sakura,Adventure,8.18,70
4789,ef: A Tale of Melodies.,Drama,8.18,12
16918,Gin no Saji,Comedy,8.18,11
16,Hachimitsu to Clover,Comedy,8.18,24
1486,Kodomo no Omocha (TV),Comedy,8.18,102
24997,Love Live! The School Idol Movie,Music,8.18,1
32902,Mahoutsukai no Yome: Hoshi Matsu Hito,Fantasy,8.18,3
8063,Sekaiichi Hatsukoi OVA,Comedy,8.18,2
25879,Working!!!,Comedy,8.18,13
889,Black Lagoon,Action,8.17,12
21419,Detective Conan Movie 18: The Sniper from Another Dimension,Action,8.17,1
2952,Final Fantasy VII: Advent Children Complete,Action,8.17,1
934,Higurashi no Naku Koro ni,Horror,8.17,26
12189,Hyouka,Mystery,8.17,22
731,Interstella5555: The 5tory of The 5ecret 5tar 5ystem,Adventure,8.17,1
1530,Kanon (2006),Drama,8.17,24
9656,Kimi ni Todoke 2nd Season,Romance,8.17,12
20507,Noragami,Action,8.17,12
31149,Persona 3 the Movie 4: Winter of Rebirth,Action,8.17,1
4918,xxxHOLiC Shunmuki,Comedy,8.17,2
14075,Zetsuen no Tempest,Action,8.17,24
4772,Aria The Origination: Sono Choppiri Himitsu no Basho ni...,Comedy,8.16,1
781,Detective Conan Movie 03: The Last Wizard of the Century,Adventure,8.16,1
1363,Detective Conan Movie 04: Captured in Her Eyes,Adventure,8.16,1
223,Dragon Ball,Adventure,8.16,153
2004,Hanada Shounen-shi,Comedy,8.16,25
25649,Junjou Romantica 3,Comedy,8.16,12
153,Juuni Kokuki,Action,8.16,45
5029,Major Movie: Yuujou no Winning Shot,Action,8.16,1
302,Mirai Shounen Conan,Adventure,8.16,26
8740,One Piece Film: Strong World Episode 0,Action,8.16,1
5682,Phantom: Requiem for the Phantom,Action,8.16,26
21647,Tamako Love Story,Comedy,8.16,1
16049,Toaru Kagaku no Railgun S,Action,8.16,24
1065,Touch,Drama,8.16,101
18179,Yowamushi Pedal,Comedy,8.16,38
47,Akira,Action,8.15,1
4901,Black Lagoon: Roberta&#039;s Blood Trail,Action,8.15,5
23199,Durarara!!x2 Shou,Action,8.15,12
32122,Gintama: Jump Festa 2015 Special,Action,8.15,1
30415,High☆Speed!: Free! Starting Days,School,8.15,1
851,Kyou kara Ore wa!!,Comedy,8.15,10
10049,Nurarihyon no Mago: Sennen Makyou,Action,8.15,24
1943,Paprika,Fantasy,8.15,1
4053,Prince of Tennis: The National Tournament Finals,Comedy,8.15,7
846,School Rumble Ni Gakki,Comedy,8.15,26
9926,Sekaiichi Hatsukoi,Comedy,8.15,12
31173,Akagami no Shirayuki-hime 2nd Season,Drama,8.14,12
4059,Clannad: Mou Hitotsu no Sekai,Drama,8.14,1
589,Ginga Nagareboshi Gin,Action,8.14,21
15059,Initial D Fifth Stage,Action,8.14,14
7791,K-On!!,Comedy,8.14,26
17265,Log Horizon,Action,8.14,25
20815,Sekaiichi Hatsukoi: Valentine-hen,Comedy,8.14,1
535,Slayers Next,Adventure,8.14,26
2563,Aria The OVA: Arietta,Fantasy,8.13,1
9963,Detective Conan Movie 15: Quarter of Silence,Adventure,8.13,1
32551,Digimon Adventure tri. 3: Kokuhaku,Action,8.13,1
2951,Gintama: Nanigoto mo Saiyo ga Kanjin nano de Tasho Senobisuru Kurai ga Choudoyoi,Action,8.13,1
2762,Igano Kabamaru,Adventure,8.13,24
14713,Kamisama Hajimemashita,Comedy,8.13,13
14807,Kara no Kyoukai: Mirai Fukuin,Drama,8.13,1
81,Mobile Suit Gundam: The 08th MS Team,Adventure,8.13,12
9204,Omae Umasou da na,Action,8.13,1
31098,Ushio to Tora (TV) 2nd Season,Comedy,8.13,13
1023,Wolf&#039;s Rain OVA,Adventure,8.13,4
33253,Ajin 2nd Season,Action,8.12,13
24921,Aoki Hagane no Arpeggio: Ars Nova Cadenza,Action,8.12,1
1471,City Hunter 2,Action,8.12,63
27831,Durarara!!x2 Ten,Action,8.12,12
2924,ef: A Tale of Memories.,Drama,8.12,12
4672,Ghost in the Shell 2.0,Action,8.12,1
2448,Ghost in the Shell: Stand Alone Complex 2nd GIG - Individual Eleven,Action,8.12,1
3907,Ginga Sengoku Gunyuuden Rai,Adventure,8.12,52
186,Initial D Second Stage,Action,8.12,13
10080,Kami nomi zo Shiru Sekai II,Comedy,8.12,12
30885,Noragami Aragoto OVA,Action,8.12,2
21469,Stand By Me Doraemon,Comedy,8.12,1
9941,Tiger &amp; Bunny,Action,8.12,25
14813,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,Comedy,8.12,13
6421,Fullmetal Alchemist: Brotherhood Specials,Adventure,8.11,4
21855,Hanamonogatari,Comedy,8.11,5
11739,Kimi to Boku. 2,Comedy,8.11,13
2159,Ookiku Furikabutte,Comedy,8.11,25
28297,Ore Monogatari!!,Comedy,8.11,24
29831,Tamayura: Sotsugyou Shashin Part 4 - Ashita,Comedy,8.1,1
2154,Tekkon Kinkreet,Action,8.11,1
6505,There She Is!!,Comedy,8.11,5
861,xxxHOLiC,Comedy,8.11,24
1689,Byousoku 5 Centimeter,Drama,8.1,3
34103,Danganronpa 3: The End of Kibougamine Gakuen - Kibou-hen,Action,8.1,1
3665,Ginga Eiyuu Densetsu Gaiden: Rasen Meikyuu,Drama,8.1,28
9996,Hyouge Mono,Historical,8.1,39
7711,Karigurashi no Arrietty,Fantasy,8.1,1
77,Mahou Shoujo Lyrical Nanoha A&#039;s,Action,8.1,13
401,Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen,Drama,8.1,2
32093,Tanaka-kun wa Itsumo Kedaruge,Comedy,8.1,12
12113,Berserk: Ougon Jidai-hen II - Doldrey Kouryaku,Action,8.09,1
7338,Darker than Black: Kuro no Keiyakusha Gaiden,Action,8.09,4
32613,Elsword: El Lady,Action,8.11,12
3014,Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai,Action,8.09,1
645,Hikaru no Go: Journey to the North Star Cup,Game,8.09,1
11135,Hybrid Child,Drama,8.09,4
5781,Isekai no Seikishi Monogatari,Action,8.09,13
13767,Junjou Romantica OVA,Comedy,8.09,2
5678,Kobato.,Comedy,8.09,24
6774,Kuuchuu Buranko,Comedy,8.09,11
1089,Macross: Do You Remember Love?,Action,8.09,1
25161,One Piece 3D2Y: Ace no shi wo Koete! Luffy Nakama Tono Chikai,Adventure,8.09,1
995,Prince of Tennis: The National Tournament,Action,8.09,13
2752,Prince of Tennis: The National Tournament Semifinals,Action,8.09,6
15,Eyeshield 21,Action,8.08,145
122,Full Moon wo Sagashite,Comedy,8.08,52
29095,Grisaia no Rakuen,Drama,8.08,10
1594,Jigoku Shoujo Futakomori,Horror,8.08,26
3092,Junjou Romantica,Comedy,8.08,12
10721,Mawaru Penguindrum,Comedy,8.08,24
16395,SKET Dance OVA,Comedy,8.08,1
3588,Soul Eater,Action,8.08,51
4106,Trigun: Badlands Rumble,Action,8.08,1
387,Haibane Renmei,Drama,8.07,13
16916,Kuroko no Basket: Tip Off,Comedy,8.07,1
1088,Macross,Action,8.07,36
10620,Mirai Nikki (TV),Action,8.07,26
2143,Saiyuuki Reload: Burial,Action,8.07,3
6582,Tentai Senshi Sunred 2nd Season,Comedy,8.07,26
2158,Terra e... (TV),Action,8.07,24
22319,Tokyo Ghoul,Action,8.07,12
11113,Usagi Drop Specials,Josei,8.07,4
6586,Yume-iro Pâtissière,Kids,8.07,50
66,Azumanga Daioh,Comedy,8.06,26
8142,Colorful (Movie),Drama,8.06,1
6438,Detective Conan OVA 09: The Stranger in 10 Years...,Adventure,8.06,1
33032,Drifters: Special Edition,Action,8.06,1
227,FLCL,Action,8.06,6
73,Full Metal Panic! The Second Raid,Action,8.06,13
4898,Kuroshitsuji,Action,8.06,24
19111,Love Live! School Idol Project 2nd Season,Music,8.06,13
7222,Macross F Movie 2: Sayonara no Tsubasa,Action,8.06,1
22097,Magi: Sinbad no Bouken,Action,8.06,5
15689,Nekomonogatari: Kuro,Comedy,8.06,4
957,Saiunkoku Monogatari,Adventure,8.06,39
24,School Rumble,Comedy,8.06,26
33286,Strike the Blood II,Action,8.05,8
849,Suzumiya Haruhi no Yuuutsu,Comedy,8.06,14
2623,Flanders no Inu (Movie),Drama,8.05,1
268,Golden Boy,Adventure,8.05,6
29093,Grisaia no Meikyuu: Caprice no Mayu 0,Drama,8.05,1
427,Kaleido Star,Comedy,8.05,51
4280,Kara no Kyoukai 4: Garan no Dou,Action,8.05,1
18429,Lupin III vs. Detective Conan: The Movie,Action,8.05,1
17549,Non Non Biyori,Comedy,8.05,12
26123,Seitokai Yakuindomo* OVA,Comedy,8.05,6
28,Yakitate!! Japan,Comedy,8.05,69
9513,Beelzebub,Action,8.04,60
14353,Death Billiards,Drama,8.04,1
8408,Durarara!! Specials,Action,8.04,2
13331,Jormungand: Perfect Order,Action,8.04,12
4985,Mahou Shoujo Lyrical Nanoha: The Movie 1st,Action,8.04,1
29803,Overlord,Action,8.04,13
22,Prince of Tennis,Action,8.04,178
2618,Takarajima,Adventure,8.04,26
793,xxxHOLiC Movie: Manatsu no Yoru no Yume,Comedy,8.04,1
30279,Yuru Yuri San☆Hai!,Comedy,8.04,12
28755,Boruto: Naruto the Movie,Action,8.03,1
10029,Coquelicot-zaka kara,Historical,8.03,1
2035,Eikoku Koi Monogatari Emma: Molders-hen,Drama,8.03,12
790,Ergo Proxy,Mystery,8.03,23
9289,Hanasaku Iroha,Comedy,8.03,26
15809,Hataraku Maou-sama!,Comedy,8.03,13
27989,Hibike! Euphonium,Drama,8.03,13
5630,Higashi no Eden,Action,8.03,11
